	ParticipantId	PointClick_task_time_	PointClick_mouse_dist_	PointClick_speed_mean_	PointClick_speed_sd_	PointClick_pos_accel_mean	PointClick_pos_accel_sd	PointClick_neg_accel_mean	PointClick_neg_accel_sd	PointClick_pos_jerk_mean	PointClick_pos_jerk_sd	PointClick_neg_jerk_mean	PointClick_neg_jerk_sd	PointClick_pos_snap_mean	PointClick_pos_snap_sd	PointClick_neg_snap_mean	PointClick_neg_snap_sd	PointClick_angle_mean_	PointClick_angle_sd_	PointClick_x_flips_	PointClick_y_flips_	PointClick_total_dev_ideal_line_	PointClick_mean_dev_ideal_line_	PointClick_sd_dev_ideal_line_	PointClick_num_trials	DragDrop_task_time_	DragDrop_mouse_dist_	DragDrop_speed_mean_	DragDrop_speed_sd_	DragDrop_pos_accel_mean	DragDrop_pos_accel_sd	DragDrop_neg_accel_mean	DragDrop_neg_accel_sd	DragDrop_pos_jerk_mean	DragDrop_pos_jerk_sd	DragDrop_neg_jerk_mean	DragDrop_neg_jerk_sd	DragDrop_pos_snap_mean	DragDrop_pos_snap_sd	DragDrop_neg_snap_mean	DragDrop_neg_snap_sd	DragDrop_angle_mean_	DragDrop_angle_sd_	DragDrop_x_flips_	DragDrop_y_flips_	DragDrop_total_dev_ideal_line_	DragDrop_mean_dev_ideal_line_	DragDrop_sd_dev_ideal_line_	DragDrop_num_trials	DragDrop_num_drags	Drawing_task_time_	Drawing_mouse_dist_	Drawing_speed_mean_	Drawing_speed_sd_	Drawing_pos_accel_mean	Drawing_pos_accel_sd	Drawing_neg_accel_mean	Drawing_neg_accel_sd	Drawing_pos_jerk_mean	Drawing_pos_jerk_sd	Drawing_neg_jerk_mean	Drawing_neg_jerk_sd	Drawing_pos_snap_mean	Drawing_pos_snap_sd	Drawing_neg_snap_mean	Drawing_neg_snap_sd	Drawing_angle_mean_	Drawing_angle_sd_	Drawing_x_flips_	Drawing_y_flips_	Drawing_total_dev_ideal_line_	Drawing_mean_dev_ideal_line_	Drawing_sd_dev_ideal_line_	Drawing_num_drawings	Drawing_par_index	condition	FollowBox_mouse_dist_	FollowBox_speed_mean_	FollowBox_speed_sd_	FollowBox_pos_accel_mean	FollowBox_pos_accel_sd	FollowBox_neg_accel_mean	FollowBox_neg_accel_sd	FollowBox_pos_jerk_mean	FollowBox_pos_jerk_sd	FollowBox_neg_jerk_mean	FollowBox_neg_jerk_sd	FollowBox_pos_snap_mean	FollowBox_pos_snap_sd	FollowBox_neg_snap_mean	FollowBox_neg_snap_sd	FollowBox_angle_mean_	FollowBox_angle_sd_	FollowBox_x_flips_	FollowBox_y_flips_	FollowBox_in_box_ratio	LoadingTask_mouse_dist_	LoadingTask_speed_mean_	LoadingTask_speed_sd_	LoadingTask_pos_accel_mean	LoadingTask_pos_accel_sd	LoadingTask_neg_accel_mean	LoadingTask_neg_accel_sd	LoadingTask_pos_jerk_mean	LoadingTask_pos_jerk_sd	LoadingTask_neg_jerk_mean	LoadingTask_neg_jerk_sd	LoadingTask_pos_snap_mean	LoadingTask_pos_snap_sd	LoadingTask_neg_snap_mean	LoadingTask_neg_snap_sd	LoadingTask_angle_mean_	LoadingTask_angle_sd_	LoadingTask_x_flips_	LoadingTask_y_flips_	LoadingTask_movement	PatternTyping_Writing_time_mean	PatternTyping_Writing_time_sd	PatternTyping_Chars_tpd_mean	PatternTyping_Chars_tpd_sd	PatternTyping_Time_p_Keystr_mean	PatternTyping_Time_p_Keystr_sd	PatternTyping_Time_p_keystr_no_Bcksp_mean	PatternTyping_Time_p_keystr_no_Bcksp_sd	PatternTyping_Corr_time_mean	PatternTyping_Corr_time_sd	PatternTyping_time_spent_corr_mean	PatternTyping_time_spent_corr_sd	PatternTyping_Bckspce_presses_mean	PatternTyping_Bckspce_presses_sd	PatternTyping_Dwelltime_Mean_mean	PatternTyping_Dwelltime_Mean_sd	PatternTyping_Dwelltime_Median_mean	PatternTyping_Dwelltime_Median_sd	PatternTyping_Dwelltime_SD_mean	PatternTyping_Dwelltime_SD_sd	PatternTyping_1_keyspushed_mean	PatternTyping_1_keyspushed_sd	PatternTyping_0_keyspushed_mean	PatternTyping_0_keyspushed_sd	PatternTyping_Latency_mean_mean	PatternTyping_Latency_mean_sd	PatternTyping_Latency_median_mean	PatternTyping_Latency_median_sd	PatternTyping_latency_std_mean	PatternTyping_latency_std_sd	PatternTyping_down_down_mean_mean	PatternTyping_down_down_mean_sd	PatternTyping_down_down_median_mean	PatternTyping_down_down_median_sd	PatternTyping_down_down_sd_mean	PatternTyping_down_down_sd_sd	PatternTyping_up_up_mean_mean	PatternTyping_up_up_mean_sd	PatternTyping_up_up_median_mean	PatternTyping_up_up_median_sd	PatternTyping_up_up_sd_mean	PatternTyping_up_up_sd_sd	PatternTyping_writing_trials	PatternTyping_incomplete_trials
83	nQl80EJnrxYnsuoVqEFhTMzZVgl2_LS	20730.0	9577.798	462.026	845.28	11.157	23.206	-9.671	20.325	0.062	0.136	-0.062	0.136	0.576	1.027	-0.747	1.796	8.763	21.131	36.0	42.0	17599.124	17.288	22.921	25.0	47355.0	34491.513	728.361	1222.606	13.736	28.472	-12.195	23.926	0.087	0.173	-0.087	0.174	0.751	1.312	-0.977	2.105	7.596	17.406	64.0	57.0	26526.179	18.68	21.336	14.0	25.0	57525.0	10814.85	188.003	515.597	3.986	12.137	-4.02	13.881	0.037	0.101	-0.036	0.083	0.319	0.786	-0.364	1.01	9.101	17.281	31.0	36.0	9318.901	3.198	3.185	11.0	42.0	1.0	8661.025	278.132	275.359	5.106	7.117	-5.085	6.414	0.042	0.051	-0.041	0.058	0.35	0.411	-0.444	0.607	2.462	12.502	11.0	24.0	0.757	512.716	178.958	526.178	4.925	13.292	-4.825	23.781	0.043	0.204	-0.047	0.164	0.364	1.129	-0.444	2.186	7.914	20.673	2.0	3.0	1.0	2.878	0.583	6.0	0.0	0.48	0.097	0.48	0.097	0.0	0.0	0.0	0.0	0.0	0.0	76.143	4.375	77.571	9.379	12.977	3.192	0.137	0.026	0.863	0.026	499.457	115.573	447.857	139.134	279.355	48.956	575.6	116.556	521.0	145.059	283.005	45.625	603.571	115.867	594.143	132.615	293.508	56.391	7.0	0.0
84	pPx9EQjAJuN5wxinUZjO6DUsZDo1_HS	25605.0	9297.571	363.115	661.477	6.874	15.334	-6.815	13.515	0.047	0.098	-0.047	0.105	0.429	0.745	-0.51	1.193	7.683	18.755	41.0	35.0	21358.07	17.464	21.692	25.0	45195.0	23093.826	510.982	766.896	7.689	14.617	-7.86	13.549	0.064	0.116	-0.062	0.125	0.522	0.836	-0.625	1.32	8.636	16.539	34.0	44.0	35769.227	15.227	19.512	14.0	17.0	58515.0	4477.059	76.511	107.839	1.677	3.067	-1.658	2.724	0.02	0.03	-0.02	0.03	0.156	0.226	-0.193	0.304	11.083	19.052	16.0	31.0	8927.764	2.643	1.977	7.0	43.0	0.0	8783.971	281.944	240.882	4.501	6.165	-4.593	5.516	0.046	0.058	-0.047	0.062	0.374	0.435	-0.444	0.61	3.732	12.658	8.0	34.0	0.63	115.59	72.698	195.995	0.817	5.112	-0.723	2.167	0.006	0.024	-0.006	0.028	0.057	0.233	-0.057	0.302	2.23	8.071	1.0	0.0	1.0	5.82	1.607	6.714	1.161	0.859	0.139	0.82	0.152	0.546	0.873	0.074	0.123	0.286	0.452	132.16	17.29	130.929	20.963	25.027	9.981	0.134	0.029	0.866	0.029	881.591	159.316	762.571	198.64	492.988	78.155	1013.751	160.359	888.357	207.107	508.074	73.005	1095.036	207.228	1037.643	232.876	484.482	101.049	7.0	0.0
85	pPx9EQjAJuN5wxinUZjO6DUsZDo1_LS	25185.0	10616.246	421.53	782.446	9.133	23.602	-8.666	22.334	0.064	0.22	-0.061	0.206	0.548	1.19	-0.699	2.569	9.274	19.728	57.0	43.0	26845.585	19.667	27.449	25.0	39420.0	21383.224	542.446	777.228	8.142	15.437	-7.856	14.98	0.069	0.136	-0.07	0.137	0.562	0.925	-0.686	1.492	8.808	17.555	38.0	41.0	49451.225	22.789	45.359	14.0	15.0	59745.0	6816.778	114.098	225.937	2.542	6.138	-2.515	5.786	0.025	0.042	-0.025	0.044	0.21	0.349	-0.261	0.497	10.368	18.581	24.0	39.0	9911.1	3.333	3.042	7.0	43.0	1.0	8677.792	278.67	219.104	4.476	5.284	-4.467	5.145	0.047	0.053	-0.046	0.054	0.377	0.394	-0.437	0.534	4.845	12.175	9.0	44.0	0.66	160.698	51.755	156.965	1.358	5.498	-1.246	4.129	0.011	0.026	-0.012	0.044	0.111	0.299	-0.117	0.429	5.408	14.995	3.0	2.0	1.0	5.226	1.117	6.143	0.35	0.848	0.162	0.848	0.162	0.0	0.0	0.0	0.0	0.0	0.0	114.343	34.437	113.643	34.745	20.032	8.854	0.117	0.037	0.883	0.037	898.905	195.504	720.929	316.593	599.893	258.042	1013.248	191.912	841.714	303.476	607.136	259.61	1125.893	223.232	1030.857	367.269	592.467	319.933	7.0	0.0
86	pmDWRi6NVLdL8l9L530B0KCaJU83_HS	27345.0	9535.633	348.716	644.049	6.704	13.838	-6.663	14.288	0.049	0.107	-0.047	0.097	0.423	0.77	-0.533	1.187	8.407	20.028	43.0	37.0	19852.294	15.224	16.24	25.0	44910.0	25899.26	576.692	1132.338	10.875	24.966	-10.428	25.04	0.072	0.167	-0.07	0.152	0.647	1.181	-0.805	1.992	7.403	16.87	58.0	54.0	33975.582	17.299	22.954	14.0	18.0	32205.0	10528.486	326.921	614.357	5.702	14.478	-5.43	11.88	0.049	0.105	-0.048	0.117	0.42	0.857	-0.495	1.175	7.952	18.579	43.0	46.0	12287.106	11.483	13.812	11.0	44.0	0.0	8946.087	287.286	268.29	5.281	6.626	-5.5	6.476	0.043	0.055	-0.043	0.059	0.366	0.411	-0.463	0.629	2.95	11.947	9.0	29.0	0.64	430.68	76.362	189.325	1.383	4.779	-1.386	4.431	0.011	0.03	-0.011	0.032	0.099	0.276	-0.111	0.354	2.56	7.495	4.0	1.0	1.0	3.915	0.634	6.0	0.0	0.652	0.106	0.652	0.106	0.0	0.0	0.0	0.0	0.0	0.0	95.914	13.771	94.571	14.549	18.448	6.22	0.127	0.035	0.873	0.035	687.0	133.273	513.571	114.036	466.723	229.599	782.914	126.71	615.143	123.565	461.293	230.817	714.214	175.248	659.643	197.431	308.947	138.507	7.0	0.0
87	pmDWRi6NVLdL8l9L530B0KCaJU83_LS	27480.0	10499.165	382.066	775.936	8.847	20.674	-8.66	19.72	0.057	0.142	-0.059	0.15	0.534	1.133	-0.682	1.739	8.886	20.623	59.0	46.0	23212.066	17.466	21.151	25.0	44160.0	27625.751	625.583	1293.136	12.797	29.325	-12.575	29.429	0.084	0.204	-0.082	0.197	0.754	1.459	-0.935	2.409	7.947	19.038	67.0	58.0	32215.747	16.262	21.531	14.0	18.0	37230.0	9050.627	243.1	359.149	4.672	9.123	-4.608	9.017	0.041	0.067	-0.042	0.07	0.368	0.577	-0.421	0.773	7.411	17.051	41.0	38.0	6949.725	4.88	6.513	11.0	44.0	1.0	8806.732	282.675	308.921	5.638	7.51	-5.835	7.656	0.044	0.054	-0.042	0.052	0.383	0.45	-0.484	0.598	3.091	12.93	9.0	28.0	0.498	18.219	3.76	10.888	0.035	0.262	-0.041	0.25	0.0	0.002	-0.0	0.002	0.004	0.021	-0.005	0.023	0.839	10.534	0.0	1.0	1.0	3.952	0.622	6.0	0.0	0.659	0.104	0.659	0.104	0.0	0.0	0.0	0.0	0.0	0.0	92.286	10.274	91.571	12.971	14.723	4.091	0.121	0.028	0.879	0.028	698.057	130.183	575.143	154.156	420.286	130.475	790.343	124.394	658.571	154.382	418.691	132.02	800.214	159.784	772.0	168.798	346.455	138.161	7.0	0.0
88	q9vkKk996lg55c9QVUDLEU870Ev1_HS	25065.0	9353.539	373.171	706.085	7.926	18.11	-7.3	15.909	0.053	0.125	-0.052	0.128	0.48	0.951	-0.603	1.497	7.863	19.035	42.0	40.0	12886.009	11.023	14.415	25.0	34905.0	26366.651	755.383	1194.586	13.421	25.822	-12.337	22.385	0.091	0.183	-0.091	0.191	0.792	1.39	-0.971	2.044	7.914	17.276	42.0	50.0	27644.562	20.061	42.145	14.0	19.0	32325.0	6527.492	201.933	182.909	3.675	5.126	-3.472	4.721	0.036	0.045	-0.036	0.045	0.32	0.363	-0.336	0.457	7.111	13.819	17.0	18.0	5752.885	3.611	3.197	11.0	45.0	0.0	9048.907	291.008	242.884	4.948	6.366	-5.044	6.329	0.045	0.062	-0.044	0.061	0.379	0.409	-0.451	0.671	2.998	10.812	9.0	34.0	0.816	37.923	7.661	23.607	0.137	0.627	-0.173	0.822	0.002	0.006	-0.002	0.006	0.018	0.065	-0.012	0.054	1.002	7.295	1.0	1.0	1.0	3.554	1.138	7.429	1.761	0.475	0.084	0.428	0.089	0.723	0.963	0.151	0.188	0.714	0.881	69.315	5.776	65.286	6.318	15.237	3.648	0.129	0.025	0.871	0.025	484.12	97.829	394.0	136.991	304.756	132.925	553.434	97.307	461.571	142.497	309.688	128.546	586.006	111.676	515.357	141.842	320.232	139.703	7.0	0.0
89	q9vkKk996lg55c9QVUDLEU870Ev1_LS	22035.0	8743.04	396.78	710.65	8.155	17.803	-7.074	13.193	0.053	0.109	-0.055	0.119	0.474	0.874	-0.572	1.277	7.55	17.521	28.0	28.0	10416.448	10.772	12.387	25.0	29505.0	20544.438	696.304	961.17	11.639	19.192	-10.359	16.324	0.084	0.159	-0.084	0.155	0.679	1.067	-0.899	1.743	7.695	17.383	30.0	32.0	17295.964	12.39	14.776	14.0	16.0	31800.0	7340.089	230.82	341.908	3.922	7.31	-3.899	8.027	0.036	0.055	-0.037	0.058	0.309	0.442	-0.358	0.632	7.235	17.126	24.0	19.0	5069.7	3.157	2.787	11.0	45.0	1.0	9064.28	291.503	221.556	4.457	5.038	-4.628	5.66	0.044	0.055	-0.044	0.053	0.351	0.383	-0.428	0.565	2.8	12.038	9.0	27.0	0.815	28.445	18.591	30.464	0.363	0.956	-0.41	1.29	0.005	0.013	-0.006	0.014	0.048	0.108	-0.039	0.119	4.775	12.807	1.0	1.0	1.0	2.809	0.519	6.0	0.0	0.468	0.087	0.468	0.087	0.0	0.0	0.0	0.0	0.0	0.0	76.571	10.205	76.286	12.337	11.869	3.565	0.14	0.026	0.86	0.026	485.171	100.851	472.714	78.383	209.703	72.367	561.743	103.899	543.857	76.048	210.644	73.402	578.0	127.523	572.214	107.136	222.092	69.06	7.0	0.0
90	qLfZSROX4Wc8XlOp3cQZCOPOJaD3_HS	21165.0	9109.161	430.388	789.148	9.438	19.531	-8.389	16.933	0.059	0.115	-0.059	0.113	0.555	0.978	-0.67	1.358	9.647	21.449	41.0	43.0	13311.94	12.406	15.398	25.0	37230.0	23003.253	617.869	1020.721	11.84	21.931	-11.452	20.223	0.082	0.164	-0.079	0.169	0.686	1.131	-0.944	2.007	8.339	18.365	40.0	43.0	17411.587	10.862	13.914	14.0	18.0	34185.0	5929.277	173.447	155.18	3.511	4.237	-3.413	4.602	0.036	0.046	-0.035	0.043	0.307	0.356	-0.346	0.438	6.036	11.807	9.0	10.0	5502.512	3.072	2.851	11.0	46.0	0.0	9007.666	289.124	226.772	7.365	7.209	-7.303	7.98	0.055	0.065	-0.057	0.061	0.519	0.478	-0.656	0.743	2.859	12.106	9.0	21.0	0.804	202.187	37.338	128.898	0.584	2.466	-0.6	2.441	0.006	0.022	-0.006	0.025	0.046	0.214	-0.054	0.203	2.595	14.675	2.0	3.0	1.0	3.702	0.469	6.286	0.7	0.589	0.041	0.589	0.041	0.0	0.0	0.0	0.0	0.0	0.0	65.967	6.47	65.429	5.067	12.648	4.658	0.093	0.012	0.906	0.011	636.314	49.43	579.286	128.281	311.894	106.779	702.282	51.188	642.429	129.918	316.787	104.159	722.917	104.827	694.857	167.369	303.976	107.107	7.0	0.0
91	qLfZSROX4Wc8XlOp3cQZCOPOJaD3_LS	22140.0	9649.491	435.84	757.151	9.616	20.847	-8.896	16.134	0.066	0.129	-0.066	0.143	0.599	1.059	-0.761	1.615	9.514	20.131	47.0	36.0	13808.576	11.692	14.754	25.0	41205.0	28584.389	693.712	1064.914	13.284	22.882	-13.232	22.918	0.091	0.176	-0.089	0.165	0.795	1.219	-1.069	2.071	8.681	19.129	56.0	55.0	20122.538	12.85	21.467	14.0	22.0	42060.0	6224.149	147.983	161.484	3.632	5.3	-3.553	5.462	0.033	0.049	-0.032	0.048	0.284	0.349	-0.349	0.563	7.463	16.146	19.0	14.0	7452.49	3.222	2.658	11.0	46.0	1.0	8998.12	289.375	307.84	8.988	12.135	-8.758	11.531	0.069	0.093	-0.066	0.103	0.615	0.771	-0.843	1.161	3.013	13.807	12.0	25.0	0.726	2.927	5.421	3.347	0.028	0.091	-0.034	0.12	0.0	0.001	-0.0	0.001	0.003	0.01	-0.003	0.007	5.143	19.371	0.0	0.0	1.0	3.387	0.561	6.0	0.0	0.565	0.093	0.565	0.093	0.0	0.0	0.0	0.0	0.0	0.0	73.314	4.359	70.857	5.111	9.814	4.609	0.111	0.017	0.889	0.017	604.143	110.592	618.286	92.183	233.914	87.018	677.457	112.16	692.571	100.08	236.123	85.153	717.714	144.232	734.929	130.673	223.567	103.868	7.0	0.0
92	qriYtS2HVpNqWszRZgEDHW3hbIN2_HS	19170.0	9360.758	488.302	735.73	10.68	19.09	-9.607	16.321	0.074	0.124	-0.076	0.136	0.657	0.995	-0.823	1.499	11.569	20.946	47.0	31.0	13856.997	12.22	14.838	25.0	27165.0	18417.29	677.979	1199.743	13.893	26.84	-12.534	25.512	0.088	0.19	-0.088	0.189	0.743	1.239	-0.993	2.322	9.467	17.688	34.0	23.0	18945.839	12.456	13.656	14.0	14.0	43755.0	6378.366	145.775	107.251	2.895	3.322	-2.811	3.289	0.033	0.037	-0.033	0.038	0.271	0.283	-0.311	0.371	9.107	15.8	25.0	22.0	7428.868	3.074	2.714	11.0	47.0	0.0	9116.42	293.18	176.84	4.887	5.393	-5.108	5.056	0.047	0.048	-0.047	0.052	0.406	0.387	-0.467	0.515	2.728	11.952	9.0	29.0	0.853	109.348	37.771	98.502	0.624	2.363	-0.857	3.148	0.007	0.024	-0.007	0.022	0.085	0.204	-0.062	0.245	4.501	18.294	5.0	2.0	1.0	2.749	0.444	6.0	0.0	0.458	0.074	0.458	0.074	0.0	0.0	0.0	0.0	0.0	0.0	69.229	11.997	68.571	12.477	8.775	5.046	0.132	0.043	0.868	0.043	480.514	97.98	472.0	124.525	173.268	55.071	549.743	88.854	540.571	115.159	172.724	52.88	560.0	120.87	561.286	125.365	156.85	91.476	7.0	0.0
93	qriYtS2HVpNqWszRZgEDHW3hbIN2_LS	19320.0	9784.172	506.427	816.083	11.4	20.498	-10.443	22.312	0.079	0.164	-0.077	0.14	0.678	1.132	-0.844	1.882	10.784	20.056	48.0	34.0	19683.724	17.251	20.959	25.0	26310.0	17814.218	677.089	1081.14	13.134	24.309	-11.111	22.112	0.089	0.176	-0.09	0.174	0.752	1.273	-0.932	1.998	8.045	16.373	28.0	23.0	18465.883	12.344	15.287	14.0	14.0	32220.0	7528.473	233.658	335.103	3.861	8.103	-3.885	10.587	0.04	0.092	-0.04	0.073	0.343	0.68	-0.389	0.828	7.533	14.737	19.0	14.0	5203.007	3.224	2.784	11.0	47.0	1.0	9244.313	297.293	160.219	4.829	4.641	-4.752	4.619	0.047	0.048	-0.046	0.047	0.397	0.354	-0.455	0.482	3.233	13.227	13.0	24.0	0.863	248.169	52.858	177.906	1.099	4.144	-1.215	4.262	0.011	0.038	-0.011	0.039	0.092	0.31	-0.115	0.416	3.294	15.82	3.0	1.0	1.0	2.792	0.68	6.0	0.0	0.465	0.113	0.465	0.113	0.0	0.0	0.0	0.0	0.0	0.0	75.657	10.219	76.143	13.768	18.264	7.029	0.146	0.045	0.854	0.045	482.743	140.955	488.286	131.883	214.613	47.367	558.4	135.913	568.857	132.076	210.736	50.471	590.179	164.557	596.0	166.274	190.402	71.275	7.0	0.0
94	rmaeyxaBArhmeDpOhjE0oA5JtzH3_HS																																																																																																																																																															
95	rmaeyxaBArhmeDpOhjE0oA5JtzH3_LS																																																																																																																																																															
96	soLk5wQox0ZxfWByguCGAxOo6Jv1_HS	27420.0	9315.91	339.749	633.862	6.657	15.227	-6.369	13.726	0.046	0.084	-0.048	0.093	0.429	0.756	-0.519	1.06	7.784	17.174	37.0	33.0	21792.262	15.05	25.71	25.0	38070.0	21783.186	572.188	929.011	9.636	20.184	-9.498	19.041	0.072	0.154	-0.072	0.17	0.604	1.062	-0.797	1.935	7.58	15.154	42.0	41.0	30263.703	14.202	18.183	14.0	15.0	39795.0	8357.57	210.016	454.817	3.753	9.001	-3.586	7.471	0.036	0.055	-0.035	0.056	0.294	0.452	-0.343	0.599	7.189	16.027	31.0	30.0	9640.53	5.474	6.894	11.0	49.0	0.0	8565.359	275.458	183.772	4.21	4.406	-4.251	4.502	0.043	0.047	-0.043	0.047	0.36	0.359	-0.415	0.453	3.572	11.546	9.0	28.0	0.682	1791.996	323.757	948.836	6.182	29.535	-5.966	16.713	0.048	0.146	-0.046	0.22	0.465	1.465	-0.526	2.246	7.732	18.89	4.0	1.0	1.0	3.504	1.081	6.286	0.7	0.548	0.102	0.521	0.061	0.295	0.722	0.049	0.12	0.143	0.35	87.127	12.48	83.857	8.526	16.789	4.586	0.137	0.026	0.863	0.026	564.657	109.276	483.571	126.124	304.108	129.52	651.784	109.917	569.571	116.835	306.935	135.634	685.107	123.193	616.143	109.77	307.125	159.921	7.0	0.0
97	soLk5wQox0ZxfWByguCGAxOo6Jv1_LS	25665.0	8679.709	338.192	560.143	6.255	11.891	-5.92	11.166	0.047	0.08	-0.045	0.075	0.397	0.615	-0.472	0.902	8.318	18.048	30.0	32.0	15771.462	11.479	13.609	25.0	47250.0	29100.942	615.893	1033.951	11.079	22.972	-11.029	22.682	0.082	0.18	-0.083	0.191	0.703	1.243	-0.904	2.163	8.554	18.012	53.0	62.0	49502.615	24.838	57.148	14.0	19.0	27030.0	10354.459	383.073	748.515	7.006	15.235	-6.832	17.112	0.053	0.124	-0.053	0.119	0.475	0.931	-0.562	1.364	7.083	18.059	36.0	34.0	7428.819	7.262	8.827	11.0	49.0	1.0	8539.827	274.637	223.021	4.578	5.657	-4.812	6.065	0.045	0.056	-0.045	0.056	0.385	0.395	-0.434	0.593	4.007	11.915	11.0	27.0	0.657	378.902	168.401	353.351	2.31	4.839	-3.865	9.612	0.02	0.046	-0.017	0.029	0.181	0.356	-0.21	0.429	5.83	15.12	4.0	2.0	1.0	3.943	1.308	6.571	1.4	0.593	0.108	0.575	0.102	0.336	0.823	0.05	0.121	0.286	0.7	86.949	11.219	82.286	10.78	20.701	7.393	0.128	0.031	0.872	0.031	615.578	126.45	557.857	123.928	304.759	91.094	702.527	123.842	644.714	126.141	312.076	92.602	724.357	139.97	680.857	171.651	323.502	88.048	7.0	0.0
98	tmZOrKp1PiT38GELAlBRvTN4Mpd2_HS	26595.0	8677.774	326.293	541.631	5.958	12.24	-5.717	10.77	0.042	0.076	-0.043	0.083	0.369	0.616	-0.47	0.967	8.757	19.351	31.0	33.0	20329.447	14.552	19.094	25.0	34530.0	23118.643	669.523	1028.855	11.623	22.532	-10.958	20.077	0.079	0.155	-0.079	0.161	0.67	1.187	-0.875	1.783	7.625	17.607	34.0	42.0	21677.693	13.941	16.83	14.0	18.0	28605.0	10596.34	370.437	682.144	5.86	16.62	-5.93	14.346	0.05	0.109	-0.051	0.121	0.43	0.904	-0.509	1.291	7.47	20.53	29.0	28.0	4268.511	4.442	5.298	11.0	50.0	0.0	9118.918	292.977	221.315	4.683	5.284	-4.868	5.864	0.044	0.05	-0.043	0.05	0.36	0.357	-0.44	0.534	2.15	11.712	8.0	16.0	0.653	96.099	16.815	28.951	0.32	0.95	-0.319	1.037	0.005	0.012	-0.005	0.012	0.036	0.09	-0.044	0.114	2.093	10.432	3.0	0.0	1.0	3.085	0.827	6.0	0.0	0.514	0.138	0.514	0.138	0.0	0.0	0.0	0.0	0.0	0.0	98.636	6.365	98.429	11.159	17.984	5.344	0.196	0.04	0.801	0.043	460.121	93.916	381.286	93.828	329.622	95.385	537.314	91.998	437.857	125.895	326.557	92.697	591.483	169.433	481.571	127.113	318.803	122.974	7.0	0.0
99	tmZOrKp1PiT38GELAlBRvTN4Mpd2_LS	26475.0	8998.244	339.877	660.519	7.554	18.365	-7.121	14.524	0.051	0.104	-0.05	0.117	0.438	0.804	-0.563	1.401	9.032	20.745	40.0	34.0	18244.907	13.06	17.782	25.0	38160.0	25575.029	670.205	1147.13	12.763	26.896	-11.518	22.897	0.083	0.189	-0.084	0.199	0.718	1.286	-0.918	2.29	8.42	18.018	43.0	45.0	24102.824	14.416	18.423	14.0	19.0	34620.0	9689.455	279.88	571.464	4.598	15.051	-4.606	12.049	0.044	0.136	-0.043	0.154	0.359	0.957	-0.427	1.498	6.027	14.716	25.0	30.0	7527.94	5.132	5.318	11.0	50.0	1.0	8940.775	287.115	275.945	5.192	7.02	-5.091	6.635	0.043	0.055	-0.043	0.055	0.369	0.441	-0.443	0.567	2.415	12.839	11.0	22.0	0.547	33.364	10.903	35.67	0.284	1.226	-0.299	1.111	0.004	0.013	-0.004	0.014	0.032	0.102	-0.033	0.124	1.512	7.587	0.0	1.0	1.0	2.992	0.467	6.286	0.7	0.479	0.079	0.462	0.1	0.176	0.431	0.053	0.13	0.143	0.35	90.78	7.738	90.571	10.513	21.101	11.063	0.157	0.019	0.84	0.02	480.482	93.78	321.286	66.463	375.129	134.322	571.261	97.528	410.143	70.625	377.31	135.665	631.012	128.122	508.0	65.546	389.746	129.435	7.0	0.0
100	uQ5ly8q3nPQZHi56WJFlw0Y3A4E2_HS	25635.0	8069.313	314.777	483.04	5.262	9.84	-4.632	9.027	0.042	0.084	-0.042	0.08	0.358	0.602	-0.411	0.866	8.011	18.222	35.0	30.0	11938.313	9.891	10.86	25.0	33105.0	20580.547	621.675	1052.11	10.718	20.849	-9.363	19.554	0.079	0.179	-0.077	0.169	0.623	1.178	-0.796	1.911	8.098	17.626	40.0	27.0	31820.051	19.776	47.45	14.0	15.0	55320.0	11298.397	204.237	507.373	3.795	9.492	-3.845	9.857	0.036	0.061	-0.036	0.06	0.309	0.499	-0.36	0.687	9.271	16.119	25.0	32.0	6813.703	2.432	1.883	11.0	51.0	0.0	8932.836	286.999	178.345	5.059	5.289	-5.007	5.693	0.047	0.056	-0.047	0.054	0.401	0.389	-0.484	0.576	2.631	11.688	9.0	21.0	0.888	619.014	148.981	189.952	3.112	4.822	-3.356	5.307	0.032	0.049	-0.031	0.049	0.282	0.361	-0.313	0.516	8.224	16.446	6.0	4.0	1.0	3.24	0.36	6.0	0.0	0.54	0.06	0.54	0.06	0.0	0.0	0.0	0.0	0.0	0.0	60.6	4.597	59.714	3.731	7.62	1.417	0.095	0.012	0.905	0.012	587.4	71.312	512.143	95.14	292.675	56.307	648.0	72.063	568.0	94.464	293.074	55.829	697.214	80.777	657.286	90.959	300.532	79.773	7.0	0.0
